$Date,$Time,PIC101SP,PT101,PIC101OUT,PIC101P_GS,PIC101I_GS
05/23/22,03:13:00,0,1.17,100,140,3
05/23/22,03:13:01,0,1.169,100,140,3
05/23/22,03:13:02,0,1.17,100,140,3
05/23/22,03:13:03,0,1.17,100,140,3
05/23/22,03:13:04,0,1.17,100,140,3
05/23/22,03:13:05,0,1.17,100,140,3
05/23/22,03:13:06,0,1.17,100,140,3
05/23/22,03:13:07,0,1.17,100,140,3
05/23/22,03:13:08,0,1.17,100,140,3
05/23/22,03:13:09,0,1.17,100,140,3
05/23/22,03:13:10,0,1.17,100,140,3
05/23/22,03:13:11,0,1.17,100,140,3
05/23/22,03:13:12,0,1.169,100,140,3
05/23/22,03:13:13,0,1.17,100,140,3
05/23/22,03:13:14,0,1.17,100,140,3
05/23/22,03:13:15,0,1.17,100,140,3
05/23/22,03:13:16,0,1.17,100,140,3
05/23/22,03:13:17,0,1.17,100,140,3
05/23/22,03:13:18,0,1.17,100,140,3
05/23/22,03:13:19,0,1.17,100,140,3
05/23/22,03:13:20,0,1.17,100,140,3
05/23/22,03:13:21,0,1.17,100,140,3
05/23/22,03:13:22,0,1.17,100,140,3
05/23/22,03:13:23,0,1.17,100,140,3
05/23/22,03:13:24,0,1.17,100,140,3
05/23/22,03:13:25,0,1.17,100,140,3
05/23/22,03:13:26,0,1.169,100,140,3
05/23/22,03:13:27,0,1.17,100,140,3
05/23/22,03:13:28,0,1.17,100,140,3
05/23/22,03:13:29,0,1.17,100,140,3
05/23/22,03:13:30,0,1.17,100,140,3
05/23/22,03:13:31,0,1.17,100,140,3
05/23/22,03:13:32,0,1.17,100,140,3
05/23/22,03:13:33,0,1.17,100,140,3
05/23/22,03:13:34,0,1.17,100,140,3
05/23/22,03:13:35,0,1.17,100,140,3
05/23/22,03:13:36,0,1.17,100,140,3
05/23/22,03:13:37,0,1.17,100,140,3
05/23/22,03:13:38,0,1.17,100,140,3
05/23/22,03:13:39,0,1.171,100,140,3
05/23/22,03:13:40,0,1.17,100,140,3
05/23/22,03:13:41,0,1.17,100,140,3
05/23/22,03:13:42,0,1.17,100,140,3
05/23/22,03:13:43,0,1.17,100,140,3
05/23/22,03:13:44,0,1.17,100,140,3
